iter	Passed	Remaining
143	23963	142448
144	24202	142710
145	24347	142416
146	24517	142265
147	24667	142007
148	24840	141873
149	25007	141709
150	25163	141480
151	25309	141200
152	25468	140989
153	25626	140780
154	25771	140494
155	25929	140284
156	26095	140115
157	26258	139934
158	26383	139549
159	26562	139451
160	26697	139125
161	26841	138848
162	26973	138509
163	27113	138212
164	27284	138076
165	27452	137922
166	27587	137607
167	27765	137503
168	27903	137208
169	28044	136920
170	28215	136786
171	28385	136646
172	28555	136504
173	28715	136317
174	28908	136282
175	29064	136073
176	29202	135781
177	29363	135601
178	29513	135365
179	29678	135203
180	29838	135015
181	29996	134818
182	30129	134511
183	30284	134303
184	30421	134021
185	30561	133748
186	30725	133582
187	30861	133296
188	30983	132950
189	31140	132756
190	31290	132533
191	31434	132285
192	31586	132074
193	31736	131854
194	31887	131637
195	32040	131431
196	32201	131259
197	32316	130897
198	32458	130650
199	32616	130466
200	32772	130273
201	32939	130127
202	33087	129903
203	33232	129670
204	33376	129433
205	33502	129129
206	33617	128787
207	33735	128455
208	33937	128441
209	34085	128224
210	34231	128003
211	34384	127805
212	34528	127578
213	34669	127336
214	34814	127114
215	34977	126955
216	35113	126699
217	35244	126425
218	35403	126255
219	35545	126026
220	35686	125790
221	35806	125483
222	35929	125189
223	36087	125017
224	36236	124815
225	36388	124624
226	36548	124459
227	36710	124299
228	36848	124063
229	37005	123886
230	37188	123800
231	37362	123681
232	37530	123545
233	37657	123270
234	37806	123073
235	37966	122909
236	38114	122706
237	38269	122525
238	38397	122261
239	38544	122057
240	38712	121920
241	38838	121650
242	38987	121454
243	39139	121267
244	39261	120989
245	39413	120802
246	39550	120574
247	39720	120441
248	39872	120259
249	40021	120064
250	40167	119861
251	40319	119677
252	40480	119522
253	40640	119360
254	40797	119193
255	40950	119012
256	41117	118871
257	41258	118659
258	41393	118426
259	41528	118196
260	41667	117977
261	41814	117782
262	41948	117552
263	42123	117434
264	42256	117202
265	42365	116902
266	42490	116651
267	42632	116444
268	42780	116255
269	42930	116071
270	43076	115876
271	43222	115682
272	43380	115523
273	43532	115345
274	43692	115189
275	43854	115038
276	44018	114892
277	44166	114705
278	44309	114504
279	44426	114239
280	44570	114044
281	44718	113858
282	44871	113684
283	44992	113431
284	45139	113243
285	45285	113054
286	45430	112863
287	45569	112657
288	45688	112402
289	45835	112217
290	45985	112041
291	46125	111838
292	46277	111667
293	46436	111511
294	46585	111331
295	46700	111072
296	46879	110964
297	47021	110769
298	47173	110596
299	47330	110437
300	47473	110245
301	47625	110075
302	47765	109876
303	47903	109673
304	48066	109528
305	48204	109327
306	48342	109124
307	48513	108997
308	48685	108871
309	48838	108704
310	48986	108525
311	49135	108349
312	49295	108197
313	49417	107964
314	49567	107789
315	49728	107641
316	49871	107452
317	50008	107251
318	50148	107057
319	50299	106885
320	50421	106655
321	50566	106471
322	50692	106250
323	50844	106082
324	50984	105891
325	51145	105741
326	51290	105562
327	51455	105421
328	51571	105180
329	51716	105000
330	51847	104791
331	51990	104608
332	52122	104401
333	52269	104225
334	52432	104082
335	52581	103910
336	52714	103708
337	52855	103520
338	53016	103374
339	53173	103218
340	53325	103054
341	53459	102855
342	53630	102727
343	53785	102566
344	53931	102391
345	54055	102174
346	54201	101998
347	54344	101818
348	54506	101672
349	54662	101516
350	54815	101354
351	54966	101187
352	55120	101027
353	55238	100802
354	55377	100615
355	55521	100438
356	55657	100246
357	55820	100103
358	55961	99919
359	56112	99755
360	56269	99600
361	56426	99447
362	56561	99255
363	56679	99033
364	56834	98876
365	56981	98706
366	57131	98540
367	57288	98387
368	57428	98204
369	57559	98007
370	57715	97852
371	57841	97645
372	57985	97471
373	58120	97282
374	58288	97146
375	58434	96977
376	58575	96797
377	58725	96632
378	58867	96455
379	58989	96245
380	59151	96102
381	59280	95904
382	59418	95721
383	59546	95521
384	59725	95405
385	59871	95235
386	60008	95051
387	60169	94906
388	60324	94750
389	60449	94549
390	60646	94459
391	60801	94304
392	60954	94146
393	61105	93984
394	61242	93802
395	61391	93637
396	61527	93452
397	61657	93260
398	61813	93107
